duration,1,2,3,5,10,20,30,50,100
5,6.9,8.6,9.7,11.1,13.1,15.2,16.5,18.3,20.9
10,8.8,11.0,12.4,14.2,16.8,19.5,21.2,23.5,26.8
15,10.0,12.5,14.1,16.1,19.1,22.1,24.1,26.7,30.5
20,10.9,13.6,15.3,17.6,20.8,24.1,26.3,29.1,33.2
30,12.2,15.3,17.2,19.7,23.3,27.0,29.5,32.7,37.3
45,13.7,17.1,19.2,22.0,26.1,30.2,32.9,36.5,41.6
60,14.7,18.5,20.8,23.8,28.1,32.6,35.6,39.4,45.0
90,16.4,20.5,23.1,26.5,31.3,36.3,39.6,43.9,50.0
120,17.7,22.1,24.9,28.5,33.7,39.1,42.6,47.2,53.9
180,19.6,24.5,27.6,31.6,37.4,43.4,47.3,52.4,59.8
240,21.1,26.4,29.7,34.0,40.3,46.7,50.9,56.4,64.3
360,23.4,29.3,32.9,37.7,44.6,51.7,56.4,62.5,71.3
540,25.9,32.4,36.5,41.8,49.4,57.3,62.5,69.2,78.9
720,27.8,34.9,39.2,44.9,53.1,61.6,67.2,74.4,84.9
1080,30.8,38.6,43.4,49.7,58.8,68.2,74.4,82.4,94.0
1440,33.1,41.5,46.7,53.5,63.2,73.3,80.0,88.6,101.0
2880,39.4,49.4,55.5,63.6,75.3,87.3,95.1,105.4,120.2
4320,43.7,54.7,61.5,70.4,83.3,96.6,105.3,116.7,133.1
5760,46.9,58.7,66.1,75.7,89.5,103.8,113.2,125.4,143.0
7200,49.6,62.1,69.9,80.0,94.7,109.8,119.7,132.7,151.2
8640,51.9,65.0,73.1,83.8,99.1,114.9,125.3,138.8,158.3
10080,54.0,67.6,76.0,87.1,103.0,119.5,130.2,144.3,164.5
