PROVIDER_SHORT;PROVIDER_NAME;NO_OF_SERIES
DWD;Deutscher Wetterdienst;1096
LUBW;Landesanstalt für Umwelt Baden-Württemberg;102
BLfU;Bayrisches Landesamt für Umwelt;107
MSE;Münchner Stadtentwässerung;9
hanseWasser;hanseWasser Bremen GmbH;7
HamburgWasser;Hamburger Stadtentwässerung, AöR;6
HLNUG;Hessisches Landesamt für Naturschutz, Umwelt und Geologie;52
SEF;Stadtentwässerung Frankfurt am Main;13
NLWKN;Niedersächsischer Landesbetrieb für Wasserwirtschaft, Küsten- und Naturschutz;5
HWW;Harzwasserwerke GmbH;16
LANUV NRW;Landesamt für Natur, Umwelt und Verbraucherschutz Nordrhein-Westfalen;195
Aggerverband;Aggerverband, KdöR;13
BRW;Bergisch-Rheinischer Wasserverband, KdöR;16
EGLV;Emschergenossenschaft und Lippeverband, KdöR;42
Erftverband;Erftverband, KdöR;36
LINEG;Linksniederrheinische Entwässerungs-Genossenschaft, KdöR;8
Niersverband;Niersverband, KdöR;22
Ruhrverband;Ruhrverband, KdöR;4
WOL;Wasserverband Obere Lippe, KdöR;10
Wupperverband;Wupperverband, KdöR;18
WVER;Wasserverband Eifel-Rur, KdöR;13
SEBD;Stadtentwässerungsbetrieb der Landeshauptstadt Düsseldorf;8
StEB Köln;Stadtentwässerungsbetriebe Köln, AöR;16
LfU RLP;Landesamt für Umwelt Rheinland-Pfalz;83
DLR RLP;Dienstleistungszentrum Ländlicher Raum Rheinland-Pfalz;81
LUA SL;Landesamt für Umwelt- und Arbeitsschutz Saarland;46
LfULG SN;Landesamt für Umwelt Landwirtschaft und Geologie Sachsen;18
LTV SN;Landestalsperrenverwaltung Sachsen;5
SEDD;Stadtentwässerung Dresden GmbH;9
LWW;Kommunalen Wasserwerke Leipzig GmbH;3
LHW ST;Landesbetrieb für Hochwasserschutz und Wasserwirtschaft Sachsen-Anhalt;9
LLUR SH;Landesamt für Landwirtschaft, Umwelt und ländliche Räume Schleswig-Holstein;2
TLUBN;Thüringer Landesamt für Umwelt, Bergbau und Naturschutz;4
