date,precipitation_height
2022-10-20 12:45:00,0.02
2022-10-20 12:50:00,0.3
2022-10-20 12:55:00,0.06
2022-10-20 13:00:00,0.0
2022-10-20 13:05:00,0.0
2022-10-20 13:10:00,0.0
2022-10-20 13:15:00,0.02
2022-10-20 13:20:00,0.0
2022-10-20 13:25:00,0.01
2022-10-20 13:30:00,0.0
2022-10-20 13:35:00,0.02
2022-10-20 13:40:00,0.01
2022-10-20 13:45:00,0.04
2022-10-20 13:50:00,0.07
2022-10-20 13:55:00,0.08
2022-10-20 14:00:00,0.1
2022-10-20 14:05:00,0.17
2022-10-20 14:10:00,0.09
2022-10-20 14:15:00,0.12
2022-10-20 14:20:00,0.11
2022-10-20 14:25:00,0.06
2022-10-20 14:30:00,0.1
2022-10-20 14:35:00,0.04
2022-10-20 14:40:00,0.01
