date,precipitation_height
2023-06-22 13:20:00,0.09
2023-06-22 13:25:00,0.11
2023-06-22 13:30:00,0.19
2023-06-22 13:35:00,0.24
2023-06-22 13:40:00,0.47
2023-06-22 13:45:00,0.45
2023-06-22 13:50:00,0.3
2023-06-22 13:55:00,0.15
2023-06-22 14:00:00,0.07
2023-06-22 14:05:00,0.06
2023-06-22 14:10:00,0.02
2023-06-22 14:15:00,0.0
2023-06-22 14:20:00,0.0
2023-06-22 14:25:00,0.0
2023-06-22 14:30:00,0.01
2023-06-22 14:35:00,0.0
2023-06-22 14:40:00,0.03
2023-06-22 14:45:00,0.01
2023-06-22 14:50:00,0.0
2023-06-22 14:55:00,0.01
2023-06-22 15:00:00,0.0
2023-06-22 15:05:00,0.02
2023-06-22 15:10:00,0.03
2023-06-22 15:15:00,0.0
2023-06-22 15:20:00,0.0
2023-06-22 15:25:00,0.0
2023-06-22 15:30:00,0.0
2023-06-22 15:35:00,0.0
2023-06-22 15:40:00,0.0
2023-06-22 15:45:00,0.0
2023-06-22 15:50:00,1.75
2023-06-22 15:55:00,0.41
2023-06-22 16:00:00,0.04
2023-06-22 16:05:00,0.09
2023-06-22 16:10:00,0.0
2023-06-22 16:15:00,0.0
2023-06-22 16:20:00,0.0
2023-06-22 16:25:00,0.0
2023-06-22 16:30:00,0.0
2023-06-22 16:35:00,0.0
2023-06-22 16:40:00,0.0
2023-06-22 16:45:00,0.0
2023-06-22 16:50:00,0.03
2023-06-22 16:55:00,0.11
2023-06-22 17:00:00,0.16
2023-06-22 17:05:00,0.29
2023-06-22 17:10:00,0.33
2023-06-22 17:15:00,0.51
2023-06-22 17:20:00,0.64
2023-06-22 17:25:00,0.58
2023-06-22 17:30:00,0.47
2023-06-22 17:35:00,0.64
2023-06-22 17:40:00,0.57
2023-06-22 17:45:00,0.7
2023-06-22 17:50:00,0.56
2023-06-22 17:55:00,0.73
2023-06-22 18:00:00,0.76
2023-06-22 18:05:00,0.34
2023-06-22 18:10:00,0.33
2023-06-22 18:15:00,0.43
2023-06-22 18:20:00,0.35
2023-06-22 18:25:00,0.44
2023-06-22 18:30:00,0.45
2023-06-22 18:35:00,0.33
2023-06-22 18:40:00,0.26
2023-06-22 18:45:00,0.22
2023-06-22 18:50:00,0.1
2023-06-22 18:55:00,0.04
2023-06-22 19:00:00,0.05
2023-06-22 19:05:00,0.02
2023-06-22 19:10:00,0.01
2023-06-22 19:15:00,0.0
2023-06-22 19:20:00,0.0
2023-06-22 19:25:00,0.0
2023-06-22 19:30:00,0.0
2023-06-22 19:35:00,0.0
2023-06-22 19:40:00,0.0
2023-06-22 19:45:00,0.0
2023-06-22 19:50:00,0.0
2023-06-22 19:55:00,0.0
2023-06-22 20:00:00,0.0
2023-06-22 20:05:00,0.0
2023-06-22 20:10:00,0.01
2023-06-22 20:15:00,0.0
2023-06-22 20:20:00,0.0
2023-06-22 20:25:00,0.0
2023-06-22 20:30:00,0.0
2023-06-22 20:35:00,0.0
2023-06-22 20:40:00,0.0
2023-06-22 20:45:00,0.0
2023-06-22 20:50:00,0.0
2023-06-22 20:55:00,0.0
2023-06-22 21:00:00,0.0
2023-06-22 21:05:00,0.0
2023-06-22 21:10:00,0.0
2023-06-22 21:15:00,0.0
2023-06-22 21:20:00,0.0
2023-06-22 21:25:00,0.0
2023-06-22 21:30:00,0.0
2023-06-22 21:35:00,0.0
2023-06-22 21:40:00,0.0
2023-06-22 21:45:00,0.0
2023-06-22 21:50:00,0.02
2023-06-22 21:55:00,0.01
2023-06-22 22:00:00,0.11
2023-06-22 22:05:00,0.01
2023-06-22 22:10:00,0.17
2023-06-22 22:15:00,0.38
2023-06-22 22:20:00,0.42
2023-06-22 22:25:00,0.38
2023-06-22 22:30:00,0.16
2023-06-22 22:35:00,0.32
2023-06-22 22:40:00,0.51
2023-06-22 22:45:00,0.98
2023-06-22 22:50:00,1.42
2023-06-22 22:55:00,1.57
2023-06-22 23:00:00,2.17
2023-06-22 23:05:00,1.64
2023-06-22 23:10:00,1.16
2023-06-22 23:15:00,0.71
2023-06-22 23:20:00,0.69
2023-06-22 23:25:00,0.63
2023-06-22 23:30:00,0.45
2023-06-22 23:35:00,0.34
2023-06-22 23:40:00,0.32
2023-06-22 23:45:00,0.23
2023-06-22 23:50:00,0.35
2023-06-22 23:55:00,0.29
2023-06-23 00:00:00,0.2
2023-06-23 00:05:00,0.17
2023-06-23 00:10:00,0.11
