KENNUNG KO;UR-NR;STATION_NAME;VON_BIS;ANZ_A_BEO;ANZ_A_MIS;TYPE;LAT;LON;HOEHE;KOORD_CHANGE;PROVIDER;BDL
KO00010;1;Görlitz;1951-2020;70;0;L;51.162151;14.950565;238;0;DWD;SN
KO00020;1;Angermünde;1955-2020;66;0;L;53.031558;13.99082;53.9;0;DWD;BB
KO00030;1;Ueckermünde;1956-2020;61;4;L;53.744431;14.069699;1.2;0;DWD;MV
KO00040;1;Greifswald-Wieck;1959-1977;19;0;L;54.1;13.45;2;0;DWD;MV
KO00040;2;Greifswald;1978-2020;41;2;L;54.096736;13.405576;2;0;DWD;MV
KO00050;1;Arkona;1960-2020;61;0;L;54.67916;13.434252;42;0;DWD;MV
KO00060;1;Rostock-Warnemünde;1951-2020;70;0;L;54.180279;12.080806;4;0;DWD;MV
KO00070;1;Boltenhagen;1968-2020;52;1;L;54.002806;11.190772;15;0;DWD;MV
KO00080;1;Teterow;1956-2020;65;0;L;53.761044;12.557403;38;0;DWD;MV
KO00090;1;Neubrandenburg (Küssower Str.);1958-1975;14;4;L;53.567872;13.27655;17;0;DWD;MV
KO00090;2;Neubrandenburg;1976-2005;29;1;L;53.546774;13.191364;81;0;DWD;MV
KO00090;3;Trollenhagen;2006-2020;7;8;L;53.5997;13.3039;69;0;DWD;MV
KO00100;1;Lübeck;1955-1984;30;0;L;53.877317;10.691454;15;0;DWD;SH
KO00100;2;Lübeck-Blankensee;1985-2020;33;3;L;53.802512;10.698941;14.74;0;DWD;SH
KO00110;1;Schleswig;1955-2020;66;0;L;54.527539;9.548666;42.7;0;DWD;SH
KO00120;1;Cuxhaven;1951-2020;68;2;L;53.871254;8.705821;5;0;DWD;NI
KO00130;1;Eggebek;1961-2020;51;9;L;54.62823;9.364924;17;0;DWD;SH
KO00140;1;Norderney;1951-2020;70;0;L;53.712304;7.151923;11.47;0;DWD;NI
KO00150;1;Bocholt-Liedern;1951-2006;55;1;L;51.829739;6.53542;21;0;DWD;NW
KO00150;2;Bocholt Mussum;2007-2014;5;3;L;51.815863;6.537619;20;0;LANUV NRW;NW
KO00150;3;Bocholt-Liedern (Wasserwerk);2015-2020;6;0;L;51.8293;6.53651;23;0;DWD;NW
KO00160;1;Wahnsdorf bei Dresden;1951-1973;23;0;L;51.1197;13.6744;246;0;DWD;SN
KO00160;2;Dresden-Klotzsche;1974-2020;44;3;L;51.127955;13.754338;227;0;DWD;SN
KO00170;1;Wittenberg;1956-2020;65;0;L;51.889183;12.644523;105;0;DWD;ST
KO00180;1;Fichtelberg;1951-2014;64;0;L;50.428346;12.953506;1213;0;DWD;SN
KO00190;1;Chemnitz;1952-2020;69;0;L;50.791286;12.871977;418;0;DWD;SN
KO00200;1;Leipzig-Mockau;1970-1972;3;0;L;51.392013;12.396236;128;0;DWD;SN
KO00200;2;Leipzig/Halle;1973-2020;48;0;L;51.43479;12.239622;131;0;DWD;SN
KO00210;1;Hof;1951-2020;66;4;L;50.312236;11.876052;565.1;0;DWD;BY
KO00220;1;Weimar;1951-2006;56;0;L;50.975084;11.307642;264;0;DWD;TH
KO00220;2;Weimar-Schöndorf;2007-2020;14;0;L;51.01765;11.354409;328.01;0;DWD;TH
KO00230;1;Gera-Leumnitz;1956-2020;65;0;L;50.881268;12.128858;311;0;DWD;TH
KO00240;1;Erfurt-Weimar;1959-2020;59;3;L;50.982859;10.960808;316;0;DWD;TH
KO00250;1;Leinefelde;1957-2020;64;0;L;51.393291;10.312345;356;0;DWD;TH
KO00260;1;Artern;1959-2020;62;0;L;51.374461;11.291977;164;0;DWD;TH
KO00270;1;Plauen;1951-2020;69;1;L;50.481883;12.130014;386;0;DWD;SN
KO00280;1;Harzgerode;1963-2020;58;0;L;51.651998;11.136687;404;0;DWD;ST
KO00290;1;Sangerhausen;1980-2005;20;7;K;51.476996;11.311898;179;0;DWD;ST
