INDEX_RC;LOCAL_XI;SCALE_ALPHA;SHAPE_KAPPA;KOUT_1_THETA;KOUT_2_ETA
000000;-99,9;-99,9;-99,9;-99,9;-99,9
000001;-99,9;-99,9;-99,9;-99,9;-99,9
000002;-99,9;-99,9;-99,9;-99,9;-99,9
000003;-99,9;-99,9;-99,9;-99,9;-99,9
000004;-99,9;-99,9;-99,9;-99,9;-99,9
000005;-99,9;-99,9;-99,9;-99,9;-99,9
000006;-99,9;-99,9;-99,9;-99,9;-99,9
000007;-99,9;-99,9;-99,9;-99,9;-99,9
000008;-99,9;-99,9;-99,9;-99,9;-99,9
000009;-99,9;-99,9;-99,9;-99,9;-99,9
000010;-99,9;-99,9;-99,9;-99,9;-99,9
000011;-99,9;-99,9;-99,9;-99,9;-99,9
000012;-99,9;-99,9;-99,9;-99,9;-99,9
000013;-99,9;-99,9;-99,9;-99,9;-99,9
000014;-99,9;-99,9;-99,9;-99,9;-99,9
000015;-99,9;-99,9;-99,9;-99,9;-99,9
000016;-99,9;-99,9;-99,9;-99,9;-99,9
000017;-99,9;-99,9;-99,9;-99,9;-99,9
000018;-99,9;-99,9;-99,9;-99,9;-99,9
000019;-99,9;-99,9;-99,9;-99,9;-99,9
000020;-99,9;-99,9;-99,9;-99,9;-99,9
000021;-99,9;-99,9;-99,9;-99,9;-99,9
000022;-99,9;-99,9;-99,9;-99,9;-99,9
000023;-99,9;-99,9;-99,9;-99,9;-99,9
000024;-99,9;-99,9;-99,9;-99,9;-99,9
000025;-99,9;-99,9;-99,9;-99,9;-99,9
000026;-99,9;-99,9;-99,9;-99,9;-99,9
000027;-99,9;-99,9;-99,9;-99,9;-99,9
000028;-99,9;-99,9;-99,9;-99,9;-99,9
000029;-99,9;-99,9;-99,9;-99,9;-99,9
000030;-99,9;-99,9;-99,9;-99,9;-99,9
000031;-99,9;-99,9;-99,9;-99,9;-99,9
000032;-99,9;-99,9;-99,9;-99,9;-99,9
000033;-99,9;-99,9;-99,9;-99,9;-99,9
000034;-99,9;-99,9;-99,9;-99,9;-99,9
000035;-99,9;-99,9;-99,9;-99,9;-99,9
000036;-99,9;-99,9;-99,9;-99,9;-99,9
000037;-99,9;-99,9;-99,9;-99,9;-99,9
000038;-99,9;-99,9;-99,9;-99,9;-99,9
000039;-99,9;-99,9;-99,9;-99,9;-99,9
000040;-99,9;-99,9;-99,9;-99,9;-99,9
000041;-99,9;-99,9;-99,9;-99,9;-99,9
000042;-99,9;-99,9;-99,9;-99,9;-99,9
000043;-99,9;-99,9;-99,9;-99,9;-99,9
000044;-99,9;-99,9;-99,9;-99,9;-99,9
000045;-99,9;-99,9;-99,9;-99,9;-99,9
000046;-99,9;-99,9;-99,9;-99,9;-99,9
000047;-99,9;-99,9;-99,9;-99,9;-99,9
000048;-99,9;-99,9;-99,9;-99,9;-99,9
000049;-99,9;-99,9;-99,9;-99,9;-99,9
000050;-99,9;-99,9;-99,9;-99,9;-99,9
000051;-99,9;-99,9;-99,9;-99,9;-99,9
000052;-99,9;-99,9;-99,9;-99,9;-99,9
000053;-99,9;-99,9;-99,9;-99,9;-99,9
000054;-99,9;-99,9;-99,9;-99,9;-99,9
000055;-99,9;-99,9;-99,9;-99,9;-99,9
000056;-99,9;-99,9;-99,9;-99,9;-99,9
000057;-99,9;-99,9;-99,9;-99,9;-99,9
000058;-99,9;-99,9;-99,9;-99,9;-99,9
000059;-99,9;-99,9;-99,9;-99,9;-99,9
000060;-99,9;-99,9;-99,9;-99,9;-99,9
000061;-99,9;-99,9;-99,9;-99,9;-99,9
000062;-99,9;-99,9;-99,9;-99,9;-99,9
000063;-99,9;-99,9;-99,9;-99,9;-99,9
000064;-99,9;-99,9;-99,9;-99,9;-99,9
000065;-99,9;-99,9;-99,9;-99,9;-99,9
000066;-99,9;-99,9;-99,9;-99,9;-99,9
000067;-99,9;-99,9;-99,9;-99,9;-99,9
000068;-99,9;-99,9;-99,9;-99,9;-99,9
